Date,Type,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
163,Total,13016.0,12811.600000000002,12532.5,12377.0,12505.9,12509.799999999997,13621.0,14606.0,15766.000000000002,16771.0,17636.0,18260.0,18640.0,19039.0,19282.0,19348.0,19392.0,19160.0,18556.0,18155.0,18241.0,17147.700000000004,15520.000000000002,13936.0
163,Nuclear,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4672.9,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4672.9,4673.0
163,Hydro,409.20000000000005,408.0,406.79999999999995,402.3,424.79999999999995,421.29999999999995,468.3,514.2,565.7,567.7,570.8,545.9000000000001,538.2,537.5,538.8,557.0,596.8,616.7,605.7,604.3000000000001,564.2,506.8,489.59999999999997,472.9
163,Steam,6272.8,6199.599999999999,6271.7,6349.700000000001,6447.099999999999,6454.5,7182.700000000002,7911.900000000001,8675.300000000003,9631.300000000001,10378.5,10839.099999999999,11016.9,11155.4,11317.2,11415.3,11442.000000000002,11395.0,11208.300000000003,10925.449999999999,10983.549999999997,10115.65,8964.5,7461.800000000001
163,CT,1552.4999999999998,1422.4999999999998,1072.5,852.4999999999999,852.5,852.4999999999999,1188.5,1398.5,1743.4999999999998,1790.5,1905.2000000000019,2087.500000000002,2288.2000000000025,2550.4000000000005,2619.4000000000005,2580.000000000001,2558.5000000000005,2363.8,1958.5,1842.750000000002,1909.750000000002,1742.7500000000018,1284.5,1219.8
163,Diesel,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,78.7,78.7,88.6,78.7,78.7,69.5,69.5,69.5,69.5,69.5,69.5,69.5
163,FixedImport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Other,39.0,39.0,39.0,30.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,45.0,45.0,44.0,45.0,44.0,43.0,42.0,41.0,40.0,41.0,40.0,39.0,39.0
163,INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,DEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,FLEX,535.0000000000018,1024.6000000000029,1187.5000000000011,1260.000000000002,1266.9000000000012,532.8000000000015,500.00000000000364,13.0,3.637978807091713e-12,0.0,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,0.0,3.637978807091713e-12,3.637978807091713e-12,0.0,6.700000000003911,13.0,3.637978807091713e-12
163,FLEX,535.0000000000018,1024.6000000000029,1187.5000000000011,1260.000000000002,1266.9000000000012,532.8000000000015,500.00000000000364,13.0,3.637978807091713e-12,0.0,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,0.0,3.637978807091713e-12,3.637978807091713e-12,0.0,6.700000000003911,13.0,3.637978807091713e-12
163,LOAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
